"Activate PayPal Express payment","Aktywuj płatności ekspresowe PayPal"
"Test mode (sandbox) for PayPal payment","Tryb testowy (sandbox) dla płatności PayPal"
"IntegerNet_MagentoLocalizedEbay::Email Associated with PayPal Merchant Account","Adres e-mail powiązany z kontem sprzedawcy PayPal"
"Setup of PayPal and M2E","Ustawienia PayPal oraz M2E"
"Setup of modules powered by ebay","Ustawienia modułów dostarczonych przez eBay"
"IntegerNet_MagentoLocalizedEbay::What is PayPal? Click for more info or to register.","Czym jest PayPal? Kliknij, aby uzyskać więcej informacji lub zarejestrować się."
"Please enter the e-mail address of your PayPal merchant account.","Proszę wprowadzić adres e-mail twojego konta sprzedawcy PayPal"
"The information on setting the PayPal API you will find in your PayPal merchant account under the menu item PayPal &gt; My account &gt; My profile &gt; Merchant &gt; <a href=""%s"" target=""_blank"">API access</a>.","Informacje o ustawianiu PayPal API znajdziesz na twoim koncie sprzedawcy PayPal w menu PayPal &gt; Moje konto &gt; Mój profil &gt; Sprzedawca &gt; <a href=""%s"" target=""_blank"">dostęp do API</a>."
"You have any further questions about your merchant account? <a href=""%s"" target=""_blank"">Please click here</a>.","Masz więcej pytań dotyczących twojego konta sprzedawcy? <a href=""%s"" target=""_blank"">Kliknij tutaj</a>."
"You have the option to make further settings for PayPal after you finished the setup here.","Możesz wybrać opcję dalszej zmiany ustawień PayPal po zakończeniu zmian w tym miejscu."
"Install M2E module","Instaluj moduł M2E"
"M2E Pro is installed, but not configured yet. Click <a href=""%s"">here</a> to start the wizard.","M2E Pro zostało zainstalowane, ale nie skonfigurowane. Kliknij <a href=""%s"">tutaj</a>, aby uruchomić kreator."
"What is M2E Pro?","Czym jest M2E Pro?"
"Configure PayPal Express","Konfiguruj PayPal Express"
"Configure M2E Pro","Konfiguruj M2E Pro"
"Install M2E Pro","Instaluj M2E Pro"
"The M2E Pro module is not installed yet.","Moduł M2E-Pro nie został jeszcze zainstalowany."
"Install now","Instaluj teraz"
"You have successfully activated PayPal payment. Anytime you have the possibility to select advanced settings <a href=""%s"">here</a>.","Z powodzeniem aktywowano płatności PayPal. W każdej chwili możesz wybrać ustawienia zaawansowane <a href=""%s"">tutaj</a>."
"IntegerNet_MagentoLocalizedEbay::No","Nie"
"IntegerNet_MagentoLocalizedEbay::Yes","Tak"